ASPECT RATIOS FOR JACOBIAN
2.8058512196550742 #665, triangle 222
-0.9142928514925693 #666, triangle 222
1.8061568767157616 #667, triangle 223
4.014066465256832 #668, triangle 223
-0.5701353887303023 #669, triangle 223
-0.909317211948789 #670, triangle 224
3.2754275427542168 #671, triangle 224
4.467489711934135 #672, triangle 224
1.7573245896595173 #673, triangle 225
-0.06231743986254024 #674, triangle 225
-0.49570560618613635 #675, triangle 225
1.8634522078643387 #676, triangle 226
7.937703050179326 #677, triangle 226
-0.45349699551228456 #678, triangle 226
1.0575986482456556 #679, triangle 227
36.044883303417414 #680, triangle 227
2.617106874235163 #681, triangle 227
-0.38187812642109925 #682, triangle 228
2.076829798430467 #683, triangle 228
3.9406870186091196 #684, triangle 228
2.6816129927117807 #685, triangle 229
-0.62919960127479 #686, triangle 229
-0.5308487357291729 #687, triangle 229
5.25899316594488 #688, triangle 230
-0.7092044287109253 #689, triangle 230
10.511846001974284 #690, triangle 230
7.000648375648273 #691, triangle 231
48.96666666666751 #692, triangle 231
-0.10743666941530673 #693, triangle 231
1.063359083161077 #694, triangle 232
2.2293561619404603 #695, triangle 232
-0.6070215410107627 #696, triangle 232
1.1446511039412928 #697, triangle 233
2.5514693674248976 #698, triangle 233
-0.6295774157616263 #699, triangle 233
1.5180447967333337 #700, triangle 234
4.82468354430395 #701, triangle 234
5.387894288149431 #702, triangle 234
4.643196202531772 #703, triangle 235
1.6371202531645488 #704, triangle 235
-0.5861077622182876 #705, triangle 235
2.5692218495050505 #706, triangle 236
1.21470892894141 #707, triangle 236
-0.48503815183374877 #708, triangle 236
2.4253828750435473 #709, triangle 237
-0.31274152288683665 #710, triangle 237
-0.12048142246078612 #711, triangle 237
3.0557184750733386 #712, triangle 238
1.7631059442860146 #713, triangle 238
-0.0686622655449373 #714, triangle 238
1.8398120758656822 #715, triangle 239
1.2876988572709263 #716, triangle 239
-0.6327483319754222 #717, triangle 239
1.156407806742222 #718, triangle 240
2.8146978769732116 #719, triangle 240
-0.9071131595062314 #720, triangle 240
1.7103355837966387 #721, triangle 241
1.6853809462420681 #722, triangle 241
-0.8243160962031838 #723, triangle 241
-0.23650509834243158 #724, triangle 242
2.0283608753907916 #725, triangle 242
15.169151376144239 #726, triangle 242
1.9649128164411986 #727, triangle 243
1.5435723883939838 #728, triangle 243
-0.6631239463461046 #729, triangle 243
2.5214878546908492 #730, triangle 244
-0.7821804130241893 #731, triangle 244
-0.06838712712901068 #732, triangle 244
1.5277818804832928 #733, triangle 245
-0.9239071038251582 #734, triangle 245
-0.29217734447539445 #735, triangle 245
4.19769662921342 #736, triangle 246
1.3532256826266338 #737, triangle 246
-0.6474799623491799 #738, triangle 246
2.0682868286829215 #739, triangle 247
-0.7481823929192277 #740, triangle 247
2.9935985368084017 #741, triangle 247
1.922680763983647 #742, triangle 248
1.7738044557967614 #743, triangle 248
-0.9223069134811943 #744, triangle 248
-0.5477925815885915 #745, triangle 249
3.7059467817796157 #746, triangle 249
2.122631731686059 #747, triangle 249
3.8173081637656017 #748, triangle 250
