TAPERS FOR JACOBIAN
0.21413438345472127 -0.27017114914425006 #442, triangle 148
0.5235406810806569 0.626215644820302 #443, triangle 148
0.18534786946682216 6.703225806451142 #444, triangle 148
0.2071584659838237 0.37484622621028374 #445, triangle 149
0.511546726823687 0.07668998707722867 #446, triangle 149
0.19271109048919677 0.2942538914813232 #447, triangle 149
0.7646696758309487 0.33334622375188705 #448, triangle 150
-0.10002616203018881 0.000029001479069827288 #449, triangle 150
1.5716421629702695 0.33332044316401915 #450, triangle 150
-0.9058024188069037 0.10962821734985699 #451, triangle 151
0.20403389120364968 2.885245901639343 #452, triangle 151
0.4937443598166264 0.6700143472022956 #453, triangle 151
-0.7707798913948708 -0.23605665865688016 #454, triangle 152
0.2109211468751789 0.6440100131124182 #455, triangle 152
0.4832781243696339 4.235536294690935 #456, triangle 152
0.20384336194428915 -4.3310144927536856 #457, triangle 153
0.5061079565468547 0.44681796305208965 #458, triangle 153
0.19611935121102533 -0.4445088940448552 #459, triangle 153
0.5062607378934799 0.4257461561652072 #460, triangle 154
-0.9079007255495082 0.14000365385786429 #461, triangle 154
-1.1068621664440257 0.2521711501800471 #462, triangle 154
-0.8373393115582148 0.4060309698451541 #463, triangle 155
0.20734245803257503 0.11838612634931395 #464, triangle 155
0.4886832088196727 0.2677836566725429 #465, triangle 155
-0.8811766809236318 0.21487823175393791 #466, triangle 156
0.20518412960323967 -0.7048834290495584 #467, triangle 156
0.4919777754668483 0.4773836831413048 #468, triangle 156
0.6882240957302335 0.4793113402723218 #469, triangle 157
-0.17153459420638076 0.18594508094856996 #470, triangle 157
2.4135635018496413 0.21357783077049494 #471, triangle 157
0.20505199721585046 -0.6374310382743545 #472, triangle 158
0.5080721604784181 0.5331900233870647 #473, triangle 158
0.19488337990800048 -1.7948519085249581 #474, triangle 158
0.19170504834965055 0.1819636938289963 #475, triangle 159
0.4874930214685007 -1.6588704713797604 #476, triangle 159
0.2081264307744394 0.5291681386661061 #477, triangle 159
-1.113977532557908 0.5437095972153052 #478, triangle 160
0.19577776652503517 0.22492379669667922 #479, triangle 160
0.506649884866799 0.1734200181433384 #480, triangle 160
0.20493998540023628 -0.5620499142693881 #481, triangle 161
0.5078892327262505 0.5443776930086027 #482, triangle 161
0.1949982430844163 -2.276543758329658 #483, triangle 161
0.2067335222517512 -0.5918420491939078 #484, triangle 162
0.5108404799500766 0.5396817359522386 #485, triangle 162
0.19315118614705656 -2.052596233096239 #486, triangle 162
-0.8960903982113785 0.2508654029426796 #487, triangle 163
0.20448242065312613 -0.3272286648341844 #488, triangle 163
0.49305459069098656 0.4274427807636707 #489, triangle 163
0.2038742738082953 -8.497716894977755 #490, triangle 164
0.5061579294081695 0.43801902461120273 #491, triangle 164
0.19608783418785636 -0.387770320656231 #492, triangle 164
0.2144503691407386 -0.43520166983854214 #493, triangle 165
0.5241024686474801 0.5697900230610529 #494, triangle 165
0.18500803218663267 -4.6962635596625635 #495, triangle 165
0.7783505154638998 0.5395573581693469 #496, triangle 166
-0.09052631578948711 0.2227922282829185 #497, triangle 166
1.4971098265896967 0.17583058463597606 #498, triangle 166
0.6804263768418942 0.5418044707783455 #499, triangle 167
-0.18126852400711893 0.22395130118120923 #500, triangle 167
2.589397089396705 0.17452319206906788 #501, triangle 167
0.29215439423566186 -0.6058416407390956 #502, triangle 168
0.7412622720897224 0.5376041328441895 #503, triangle 168
0.08025894473061213 -1.964272399652038 #504, triangle 168
0.24683251014387972 -0.5512632913862128 #505, triangle 169
0.5920325521064673 0.5461773209123025 #506, triangle 169
0.1469571673621956 -2.372724559832903 #507, triangle 169
-0.2806607883455862 0.22359680246227354 #508, triangle 170
0.2579571779571761 -0.5824887302211549 #509, triangle 170
0.41831824225923114 0.4646921565416756 #510, triangle 170
